OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
227,268928.0086,6131718.804,3,2270,2.27,227,184.3495483,203.8086853,60.0917854,1,Seagrass,-8.21
228,268918.3668,6131716.151,3,2280,2.28,228,103.9019928,126.0010071,60.0098114,1,Seagrass,-8.21
229,268908.725,6131713.499,3,2290,2.29,229,55.1889076,68.7927933,61.5539513,1,Seagrass,-8.21
230,268899.0831,6131710.847,3,2300,2.3,230,58.9665184,58.1244736,56.8443756,1,Seagrass,-8.21
231,268889.4413,6131708.194,3,2310,2.31,231,52.6676674,60.069519,54.3972473,1,Seagrass,-8.21
232,268879.7995,6131705.542,3,2320,2.32,232,49.0464935,55.9631004,45.7508011,1,Seagrass,-8.21
233,268870.1577,6131702.889,3,2330,2.33,233,56.6334534,47.4776192,49.2068748,1,Seagrass,-8.21
234,268860.5159,6131700.237,3,2340,2.34,234,53.3403015,44.9956779,57.1182556,1,Seagrass,-8.21
235,268850.8741,6131697.584,3,2350,2.35,235,51.5492439,53.0462875,53.9285774,1,Seagrass,-8.21
236,268841.2322,6131694.932,3,2360,2.36,236,60.8030624,59.2351761,51.6920052,1,Seagrass,-8.21
237,268831.5904,6131692.28,3,2370,2.37,237,58.578022,50.1901474,52.5922203,1,Seagrass,-8.21
238,268821.9486,6131689.627,3,2380,2.38,238,63.3214073,48.4683151,49.8666725,1,Seagrass,-8.21
239,268812.3068,6131686.975,3,2390,2.39,239,54.9424858,44.8692322,48.0531845,1,Seagrass,-8.21
240,268802.665,6131684.322,3,2400,2.4,240,46.4921036,57.0656891,48,1,Seagrass,-8.21
241,268793.0231,6131681.67,3,2410,2.41,241,50.2557602,56.8684921,48.0658302,1,Seagrass,-8.21
242,268783.3813,6131679.018,3,2420,2.42,242,48.2503548,54.6910095,48.5014038,1,Seagrass,-8.21
243,268773.7395,6131676.365,3,2430,2.43,243,38.3816299,52.2665062,48.8135223,1,Seagrass,-8.21
244,268764.0977,6131673.713,3,2440,2.44,244,44.4881363,48.9259567,53.6115074,1,Seagrass,-8.21
